"Title: Population Distribution by Race/Ethnicity | KFF"
"Timeframe: 2015"
"Location","White","Black","Hispanic","Asian","American Indian/Alaska Native","Native Hawaiian/Other Pacific Islander","Multiple Races","Total",Footnotes
"United States","192593600","37923800","55241300","16755300","1986900","466400","7810600","312777900","1"
"Alabama","3131400","1251500","188000","55300","16300","N/A","86500","4730100"
"Alaska","435400","22900","47600","49000","98700","2800","51000","707500"
"Arizona","3714900","264200","2045900","207300","270800","8900","143100","6655100"
"Arkansas","2106000","446400","204300","39000","18000","6100","62600","2882300"
"California","14503600","2084000","14903200","5405400","130000","138000","1161000","38325100"
"Colorado","3646600","204900","1137200","160200","25300","7500","133600","5315400"
"Connecticut","2366300","342500","540400","149000","3700","N/A","75600","3478100"
"Delaware","580400","191900","83300","36000","2200","N/A","23900","918300"
"District of Columbia","225000","299400","68100","23400","N/A","N/A","17200","634800"
"Florida","10934500","3027300","4883700","524600","31100","8600","402700","19812500"
"Georgia","5346500","3039500","922200","374700","16100","N/A","207700","9909700"
"Hawaii","295700","19700","137100","502600","1700","117400","288500","1362600"
"Idaho","1339100","9100","192800","18200","18000","N/A","38200","1617200"
"Illinois","7770700","1739800","2134700","653200","13300","3100","234900","12549700"
"Indiana","5141100","575400","424500","130600","13000","N/A","128500","6415100"
"Iowa","2625300","93200","169900","65600","9400","N/A","54000","3019800"
"Kansas","2155100","159100","326000","82300","17900","N/A","75700","2816600"
"Kentucky","3662100","332100","139600","58800","7900","N/A","81100","4283400"
"Louisiana","2692200","1438800","220800","76900","21100","N/A","80200","4530300"
"Maine","1211100","13700","19300","13800","6400","N/A","28100","1292600"
"Maryland","3032100","1680700","557200","372200","9100","N/A","184700","5838300"
"Massachusetts","4792000","437900","729300","411200","7000","N/A","177200","6555600"
"Michigan","7341600","1320200","473300","280600","39400","N/A","236400","9693800"
"Minnesota","4350500","303500","271400","255000","48100","N/A","134900","5365600"
"Mississippi","1655400","1089000","77000","28400","10700","N/A","27700","2889300"
"Missouri","4723300","667000","229600","110500","21900","5100","133500","5890900"
"Montana","873900","3900","35800","6100","62700","N/A","22700","1005900"
"Nebraska","1475100","88200","191300","37300","15800","N/A","30000","1838400"
"Nevada","1437900","229800","801900","227200","23100","15200","107500","2842700"
"New Hampshire","1175700","14600","42000","31900","1700","N/A","21500","1287600"
"New Jersey","4933200","1084500","1732200","829100","7700","N/A","187300","8776300"
"New Mexico","780300","33700","980800","27900","174500","N/A","36500","2035300"
"New York","10771000","2737800","3641400","1635600","40300","5900","437200","19269200"
"North Carolina","6213600","2063700","888700","259200","103300","N/A","203000","9733700"
"North Dakota","626300","9800","24600","8500","35800","N/A","20300","726400"
"Ohio","9026200","1349300","396000","224600","14700","N/A","278900","11293300"
"Oklahoma","2524700","260000","383500","75200","259800","N/A","278100","3783700"
"Oregon","3029100","67500","499700","159600","36900","14200","141800","3948700"
"Pennsylvania","9614500","1267000","830600","407700","12800","N/A","251300","12386400"
"Rhode Island","743500","52800","148000","33600","3300","N/A","32900","1014400"
"South Carolina","3031800","1279000","249800","66900","13500","N/A","89400","4734000"
"South Dakota","686800","11400","28100","9900","62100","N/A","29900","829000"
"Tennessee","4782000","1063400","325900","100700","17900","N/A","131000","6422800"
"Texas","11500100","3074800","10466100","1215700","59000","17500","444100","26777500"
"Utah","2326300","32400","403000","70100","30500","18100","64800","2945200"
"Vermont","563900","7400","9300","8100","N/A","N/A","11200","602400"
"Virginia","5053300","1492500","722700","514300","15000","3000","250500","8051200"
"Washington","4892000","242200","863700","554600","77500","45800","327000","7002800"
"West Virginia","1662300","61000","24000","14900","N/A","N/A","27400","1791500"
"Wisconsin","4613000","338600","369600","148700","46100","N/A","104300","5620900"
"Wyoming","479400","4500","56200","4300","10800","N/A","13500","568900"
"Puerto Rico","26500","3500","3406000","N/A","N/A","N/A","3900","3443200"

"Notes"
"For more current data using the Current Population Survey, see [Population Distribution by Race/Ethnicity (CPS)](https://www.kff.org/other/state-indicator/population-distribution-by-race-ethnicity-cps/)."
""
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information. "
""
"Population numbers are rounded to the nearest 100."

"Sources"
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates."

"Definitions"
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."
""
"Persons of Hispanic origin may be of any race; all other racial/ethnic groups are non-Hispanic."


Footnotes
"1. US total excludes Puerto Rico."
