"Title: Population Distribution by Race/Ethnicity | KFF"
"Timeframe: 2016"
"Location","White","Black","Hispanic","Asian","American Indian/Alaska Native","Native Hawaiian/Other Pacific Islander","Multiple Races","Total",Footnotes
"United States","192537500","38081700","56144400","17004500","2041500","514600","8142200","314466400","1"
"Alabama","3121800","1252500","194500","57600","21400","N/A","81100","4730100"
"Alaska","439200","20700","47800","42600","107200","8800","48600","714900"
"Arizona","3754900","270000","2087500","213600","266700","11600","156600","6760900"
"Arkansas","2114900","441600","210000","39500","17300","7700","64500","2895400"
"California","14418700","2066000","15009300","5448900","121600","129900","1248000","38442400"
"Colorado","3708800","207900","1149700","167800","24700","7000","132100","5398100"
"Connecticut","2342200","340100","546300","154900","4700","N/A","76700","3465100"
"Delaware","581900","191300","85000","37300","2900","N/A","25200","924300"
"District of Columbia","231400","301700","71600","23800","N/A","N/A","15000","644400"
"Florida","11017500","3050800","5045400","539400","36300","10400","444300","20144000"
"Georgia","5339500","3083400","938100","384500","16400","5200","233900","10001000"
"Hawaii","287900","17600","139800","512600","N/A","129600","275000","1364600"
"Idaho","1362500","8600","202200","22700","18900","N/A","33300","1650700"
"Illinois","7719800","1715800","2139000","660100","12800","3400","240300","12491200"
"Indiana","5129200","582900","435200","133600","13500","N/A","134200","6431400"
"Iowa","2623500","98700","171300","73600","9000","N/A","50100","3030400"
"Kansas","2154300","157400","329400","74800","17600","N/A","82200","2817000"
"Kentucky","3652100","342700","144300","60600","9300","N/A","77100","4287700"
"Louisiana","2689200","1440900","220700","75800","24100","N/A","79000","4530500"
"Maine","1210500","20000","19400","15300","7100","N/A","21300","1293800"
"Maryland","3010100","1716500","575200","366400","9300","N/A","176900","5856500"
"Massachusetts","4771800","440400","750600","415900","8600","N/A","181100","6570600"
"Michigan","7330200","1304100","477300","281500","40700","N/A","258100","9693500"
"Minnesota","4352400","305000","277200","261800","54200","N/A","141700","5392900"
"Mississippi","1651000","1085900","80500","26400","12000","N/A","31400","2887300"
"Missouri","4708400","666800","236700","112300","24900","7200","141700","5898000"
"Montana","879200","N/A","35600","8500","61700","N/A","27600","1015100"
"Nebraska","1475200","81500","196000","42300","12200","N/A","36700","1845000"
"Nevada","1441300","241000","824500","240000","25100","18800","99800","2890400"
"New Hampshire","1175900","13600","44600","32700","N/A","N/A","23100","1291300"
"New Jersey","4883400","1090900","1756100","833200","8200","N/A","188200","8762700"
"New Mexico","769600","33400","986700","30200","174600","N/A","33500","2029400"
"New York","10683700","2727900","3665200","1627800","38800","6800","471300","19221500"
"North Carolina","6255500","2069000","905300","267100","103800","5500","223800","9829900"
"North Dakota","619700","18600","22500","5900","41400","N/A","17100","725900"
"Ohio","8975800","1365400","402900","225000","13100","3200","293300","11278700"
"Oklahoma","2520400","260900","391400","71800","275300","7.20E+03","273800","3800800"
"Oregon","3064300","69800","510400","168000","37900","14500","149600","4014500"
"Pennsylvania","9553800","1272900","866000","404100","16600","3300","248000","12364700"
"Rhode Island","737600","56600","153300","33500","2600","N/A","28700","1013900"
"South Carolina","3075500","1280800","263400","73100","12000","N/A","98300","4805300"
"South Dakota","691500","11200","30700","12500","72900","N/A","17000","835800"
"Tennessee","4814000","1058900","338100","114200","14300","N/A","124000","6467700"
"Texas","11555500","3124600","10671100","1264500","64000","17100","481600","27178300"
"Utah","2361900","29400","413000","70500","22800","28400","73200","2999300"
"Vermont","560600","5000","11100","6400","2900","N/A","13600","599600"
"Virginia","5035700","1495100","732600","519200","17600","5500","275100","8080900"
"Washington","4949000","244000","885900","577700","77300","44800","345500","7124100"
"West Virginia","1646900","61100","24300","13600","2400","N/A","33000","1781700"
"Wisconsin","4605200","334800","375000","154200","45800","N/A","107000","5623300"
"Wyoming","482500","4000","54700","5200","12800","N/A","9900","569400"
"Puerto Rico","35300","2100","3335300","N/A","N/A","N/A","4300","3379100"

"Notes"
"For more current data using the Current Population Survey, see [Population Distribution by Race/Ethnicity (CPS)](https://www.kff.org/other/state-indicator/population-distribution-by-race-ethnicity-cps/)."
""
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information. "
""
"Population numbers are rounded to the nearest 100."

"Sources"
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates."

"Definitions"
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."
""
"Persons of Hispanic origin may be of any race; all other racial/ethnic groups are non-Hispanic."


Footnotes
"1. US total excludes Puerto Rico."
